DateTime,CLOSE
2004/12/31,1000
2005/1/4,986.927
2005/1/5,1003.633
2005/1/6,994.595
2005/1/7,997.606
2005/1/10,1006.337
2005/1/11,1008.343
2005/1/12,1008.62
2005/1/13,1013.07
2005/1/14,1000.169
2005/1/17,977.522
2005/1/18,991.419
2005/1/19,986.241
2005/1/20,972.463
2005/1/21,988.519
2005/1/24,1008.175
2005/1/25,999.553
2005/1/26,987.955
2005/1/27,971.373
2005/1/28,952.413
2005/1/31,922.653
2005/2/1,913.331
2005/2/2,964.243
2005/2/3,945.312
2005/2/4,962.028
2005/2/16,972.337
2005/2/17,977.272
2005/2/18,964.769
2005/2/21,981.819
2005/2/22,1007.688
2005/2/23,1019.258
2005/2/24,1024.446
2005/2/25,1024.118
2005/2/28,1020.847
2005/3/1,1021.162
2005/3/2,1006.148
2005/3/3,1011.288
2005/3/4,1003.21
2005/3/7,1006.953
2005/3/8,1029.457
2005/3/9,1032.55
2005/3/10,1005.545
2005/3/11,1009.434
2005/3/14,1007.766
2005/3/15,993.831
2005/3/16,983.916
2005/3/17,970.966
2005/3/18,949.509
2005/3/21,949.553
2005/3/22,922.564
2005/3/23,923.194
2005/3/24,933.347
2005/3/25,931.417
2005/3/28,922.923
2005/3/29,916.811
2005/3/30,888.949
2005/3/31,896.068
2005/4/1,927.546
2005/4/4,909.87
2005/4/5,901.744
2005/4/6,918.557
2005/4/7,932.333
2005/4/8,949.457
2005/4/11,948.509
2005/4/12,927.41
2005/4/13,950.229
2005/4/14,935.425
2005/4/15,913.271
2005/4/18,901.118
2005/4/19,902.785
2005/4/20,884.083
2005/4/21,867.328
2005/4/22,857.401
2005/4/25,841.058
2005/4/26,855.24
2005/4/27,839.953
2005/4/28,860.616
2005/4/29,847.611
2005/5/9,818.399
2005/5/10,818.088
2005/5/11,811.57
2005/5/12,807.51
2005/5/13,814.878
2005/5/16,808.171
2005/5/17,818.455
2005/5/18,824.643
2005/5/19,824.94
2005/5/20,819.13
2005/5/23,793.724
2005/5/24,808.743
2005/5/25,809.697
2005/5/26,799.024
2005/5/27,790.998
2005/5/30,797.532
2005/5/31,796.872
2005/6/1,778.673
2005/6/2,769.421
2005/6/3,765.967
2005/6/6,778.21
2005/6/7,779.844
2005/6/8,841.36
2005/6/9,849.725
2005/6/10,831.605
2005/6/13,834.252
2005/6/14,818.191
2005/6/15,796.26
2005/6/16,803.945
2005/6/17,800.137
2005/6/20,823.733
2005/6/21,816.197
2005/6/22,818.647
2005/6/23,809.347
2005/6/24,813.203
2005/6/27,834.346
2005/6/28,819.046
2005/6/29,814.064
2005/6/30,791.502
2005/7/1,760.352
2005/7/4,749.483
2005/7/5,744.595
2005/7/6,743.444
2005/7/7,747.418
2005/7/8,722.854
2005/7/11,714.475
2005/7/12,739.534
2005/7/13,732.443
2005/7/14,732.544
2005/7/15,714.488
2005/7/18,696.848
2005/7/19,703.066
2005/7/20,707.293
2005/7/21,704.788
2005/7/22,721.445
2005/7/25,718.867
2005/7/26,735.861
2005/7/27,750.015
2005/7/28,747.23
2005/7/29,744.825
2005/8/1,750.488
2005/8/2,763.29
2005/8/3,769.752
2005/8/4,765.262
2005/8/5,787.819
2005/8/8,800.117
2005/8/9,814.186
2005/8/10,823.839
2005/8/11,832.841
2005/8/12,816.386
2005/8/15,839.667
2005/8/16,839.264
2005/8/17,854.526
2005/8/18,820.664
2005/8/19,820.869
2005/8/22,831.496
2005/8/23,816.914
2005/8/24,826.716
2005/8/25,836.418
2005/8/26,840.431
2005/8/29,832.248
2005/8/30,827.55
2005/8/31,845.142
2005/9/1,865.405
2005/9/2,872.485
2005/9/5,884.29
2005/9/6,862.491
2005/9/7,888.125
2005/9/8,889.69
2005/9/9,879.503
2005/9/12,883.561
2005/9/13,904.311
2005/9/14,914.983
2005/9/15,918.505
2005/9/16,917.638
2005/9/19,930.489
2005/9/20,924.16
2005/9/21,909.787
2005/9/22,880.013
