DateTime,CLOSE
2006/11/17,115.4592
2006/11/20,115.3862
2006/11/21,115.444
2006/11/22,115.4642
2006/11/23,115.3804
2006/11/24,115.3716
2006/11/27,115.3606
2006/11/28,115.4306
2006/11/29,115.3954
2006/11/30,115.4292
2006/12/1,115.4648
2006/12/4,115.369
2006/12/5,115.3481
2006/12/6,115.3518
2006/12/7,115.3064
2006/12/8,115.1634
2006/12/11,115.1958
2006/12/12,115.262
2006/12/13,115.2138
2006/12/14,115.2107
2006/12/15,115.279
2006/12/18,115.2476
2006/12/19,115.2829
2006/12/20,115.2723
2006/12/21,115.259
2006/12/22,115.2643
2006/12/25,115.1286
2006/12/26,115.1435
2006/12/27,115.1813
2006/12/28,115.2945
2006/12/29,115.158
2007/1/4,115.0601
2007/1/5,115.3002
2007/1/8,115.2616
2007/1/9,115.2876
2007/1/10,115.3646
2007/1/11,115.3191
2007/1/12,115.3117
2007/1/15,115.3195
2007/1/16,115.3464
2007/1/17,115.4031
2007/1/18,115.3093
2007/1/19,115.3429
2007/1/22,115.334
2007/1/23,115.3358
2007/1/24,115.2594
2007/1/25,115.2902
2007/1/26,115.2406
2007/1/29,115.2844
2007/1/30,115.3013
2007/1/31,115.2256
2007/2/1,115.2361
2007/2/2,115.2287
2007/2/5,115.1959
2007/2/6,115.1476
2007/2/7,115.1571
2007/2/8,115.1408
2007/2/9,115.1661
2007/2/12,115.0967
2007/2/13,115.1138
2007/2/14,115.1118
2007/2/15,115.1343
2007/2/16,115.1289
2007/2/26,115.103
2007/2/27,115.0866
2007/2/28,115.0771
2007/3/1,115.077
2007/3/2,115.0895
2007/3/5,114.9949
2007/3/6,115.0362
2007/3/7,115.124
2007/3/8,115.0915
2007/3/9,115.063
2007/3/12,115.0916
2007/3/13,115.0594
2007/3/14,115.0979
2007/3/15,115.1004
2007/3/16,115.0695
2007/3/19,114.9528
2007/3/20,114.9763
2007/3/21,114.8925
2007/3/22,114.8688
2007/3/23,114.8857
2007/3/26,114.7885
2007/3/27,114.7957
2007/3/28,114.886
2007/3/29,114.7849
2007/3/30,114.8883
2007/4/2,114.8014
2007/4/3,114.8656
2007/4/4,114.8496
2007/4/5,114.8411
2007/4/6,114.8129
2007/4/9,114.7856
2007/4/10,114.7063
2007/4/11,114.6752
2007/4/12,114.6603
2007/4/13,114.6581
2007/4/16,114.6329
2007/4/17,114.5835
2007/4/18,114.5814
2007/4/19,114.5501
2007/4/20,114.5117
2007/4/23,114.4928
2007/4/24,114.4503
2007/4/25,114.4253
2007/4/26,114.4359
2007/4/27,114.5058
2007/4/30,114.5813
2007/5/8,114.5393
2007/5/9,114.545
2007/5/10,114.4835
2007/5/11,114.4524
2007/5/14,114.3933
2007/5/15,114.3481
