DateTime,CLOSE
2002/1/4,1316.455
2002/1/7,1302.084
2002/1/8,1292.714
2002/1/9,1272.645
2002/1/10,1281.261
2002/1/11,1249.814
2002/1/14,1205.146
2002/1/15,1186.433
2002/1/16,1201.877
2002/1/17,1152.148
2002/1/18,1149.483
2002/1/21,1108.61
2002/1/22,1109.994
2002/1/23,1183.154
2002/1/24,1189.583
2002/1/25,1189.428
2002/1/28,1112.835
2002/1/29,1140.377
2002/1/30,1145.855
2002/1/31,1221.76
2002/2/1,1215.743
2002/2/4,1236.969
2002/2/5,1246.842
2002/2/6,1216.788
2002/2/7,1241.023
2002/2/8,1235.092
2002/2/25,1254.611
2002/2/26,1253.121
2002/2/27,1255.997
2002/2/28,1244.603
2002/3/1,1227.229
2002/3/4,1245.867
2002/3/5,1275.614
2002/3/6,1288.444
2002/3/7,1328.388
2002/3/8,1351.854
2002/3/11,1377.037
2002/3/12,1362.404
2002/3/13,1343.138
2002/3/14,1376.329
2002/3/15,1338.702
2002/3/18,1341.907
2002/3/19,1368.378
2002/3/20,1382.417
2002/3/21,1385.79
2002/3/22,1369.901
2002/3/25,1373.012
2002/3/26,1350.009
2002/3/27,1354.098
2002/3/28,1352.533
2002/3/29,1313.466
2002/4/1,1317.579
2002/4/2,1296.574
2002/4/3,1302.248
2002/4/4,1337.728
2002/4/5,1332.201
2002/4/8,1333.705
2002/4/9,1357.742
2002/4/10,1366.716
2002/4/11,1344.734
2002/4/12,1350.689
2002/4/15,1344.581
2002/4/16,1341.502
2002/4/17,1341.766
2002/4/18,1326.546
2002/4/19,1330.642
2002/4/22,1324.867
2002/4/23,1318.661
2002/4/24,1309.727
2002/4/25,1312.483
2002/4/26,1331.714
2002/4/29,1349.785
2002/4/30,1353.607
2002/5/8,1342.292
2002/5/9,1344.783
2002/5/10,1335.451
2002/5/13,1319.814
2002/5/14,1311.68
2002/5/15,1300.119
2002/5/16,1261.522
2002/5/17,1277.235
2002/5/20,1258.829
2002/5/21,1298.878
2002/5/22,1280.16
2002/5/23,1284.836
2002/5/24,1265.966
2002/5/27,1270.336
2002/5/28,1270.382
2002/5/29,1246.019
2002/5/30,1245.886
2002/5/31,1238.577
2002/6/3,1213.388
2002/6/4,1219.523
2002/6/5,1196.623
2002/6/6,1245.613
2002/6/7,1252.514
2002/6/10,1243.743
2002/6/11,1252.851
2002/6/12,1246.843
2002/6/13,1235.572
2002/6/14,1222.119
2002/6/17,1224.654
2002/6/18,1248.837
2002/6/19,1236.049
2002/6/20,1245.081
2002/6/21,1288.522
